name,phone,address,postalZip,country,currency,color,model,numberOfCustomizations
Reagan Mason,1-198-747-2857,Ap #802-1315 Magna. Rd.,W14 9QX,France,$280.16 ,green,Ninja,5
Patience Williamson,(767) 218-3434,Ap #333-1181 Neque Rd.,11900,Peru,$43.45 ,green,Ninja,10
Herrod Love,1-734-347-2845,1728 Cras Street,687617,Singapore,$143.82 ,red,Hero,9
Xanthus Mcconnell,(262) 414-2817,"P.O. Box 156, 1543 Auctor. Av.",43581,Costa Rica,$42.09 ,indigo,Ninja,6
Hilel Rush,(185) 822-7753,Ap #750-8749 Sollicitudin Road,44812-67545,Costa Rica,$173.05 ,red,Hero,1
Denton Thomas,1-634-283-7305,368-1121 Nec Rd.,41242,Mexico,$49.22 ,yellow,Hero,1
Kirsten Church,(865) 158-1454,143-6372 Per Ave,625216,China,$233.48 ,green,Cruiser,6
Dexter Shaffer,(211) 414-5186,"Ap #729-9955 Est, St.",68087,United States,$164.86 ,red,Hero,6
Honorato Harrington,1-246-851-9818,6085 Cursus Street,18721,Colombia,$194.42 ,orange,Trickster,5
Nevada Vinson,1-148-671-2203,"P.O. Box 298, 544 Sit Rd.",3013,India,$166.12 ,yellow,Hero,5
Chester Mcknight,1-629-591-5783,934-9813 Magna Rd.,1838,Russian Federation,$69.35 ,red,Roadster,8
Calvin Norman,(597) 396-7785,Ap #154-8423 Tristique Road,33461,Indonesia,$91.38 ,indigo,Trickster,6
Guy Mcguire,1-418-673-2344,"P.O. Box 123, 9090 Ipsum Rd.",2188 LU,United Kingdom,$266.51 ,yellow,Cruiser,9
Cameron Kent,1-465-269-7359,"115 Non, Av.",274414,Canada,$151.36 ,violet,Hero,2
Dorothy Day,(678) 155-5733,7400 Eget Rd.,773135,United Kingdom,$76.54 ,yellow,Roadster,5
Anthony Lindsay,1-626-248-3647,3969 Hendrerit Rd.,3020 OE,Spain,$157.71 ,indigo,Trickster,2
Genevieve Vance,(231) 552-1139,152-4196 Donec St.,6848-2214,Chile,$142.25 ,indigo,Roadster,8
Wyoming Dunlap,(411) 582-3235,860-7220 At St.,376745,Spain,$159.15 ,indigo,Roadster,2
Mohammad Ayala,1-555-421-1339,8135 Tellus Road,25358,Turkey,$270.36 ,blue,Trickster,6
Alfonso Hoover,1-334-728-1782,"P.O. Box 868, 901 Vestibulum, St.",WC93 3TJ,Australia,$244.23 ,violet,Roadster,4
Philip Frank,1-226-758-5981,975-4880 At Street,4814,Norway,$139.53 ,yellow,Ninja,7
Alma Riggs,(712) 672-5183,446-4899 Nibh Rd.,07-761,France,$138.03 ,orange,Trickster,7
Vivien Dixon,1-365-631-2462,Ap #704-4440 Nullam Ave,12512,France,$135.21 ,violet,Roadster,1
Cassidy Sellers,1-623-468-9917,338-9112 Duis Avenue,272616,Brazil,$268.44 ,blue,Ninja,3
Zephania Figueroa,(568) 922-6720,Ap #224-3964 Fusce St.,3264,Turkey,$165.40 ,violet,Ninja,1
Quail Schmidt,1-834-761-1294,Ap #132-3730 Quis Street,74183,Philippines,$242.70 ,violet,Hero,6
Otto Woodard,(481) 385-6375,Ap #149-4009 Faucibus Street,9954,Nigeria,$191.96 ,violet,Hero,0
Cassady Cook,1-431-651-2721,Ap #328-8945 Metus. Rd.,13325-647,Chile,$96.03 ,orange,Roadster,7
Rhonda Wolfe,1-550-801-3684,Ap #318-9501 Interdum Avenue,78738,Germany,$167.60 ,green,Roadster,7
Dara Burnett,1-186-886-2176,Ap #780-1708 Faucibus Rd.,T28 0QH,Costa Rica,$172.33 ,yellow,Cruiser,9
Cameron Becker,(811) 770-1310,388-7011 Adipiscing St.,748955,Mexico,$180.16 ,red,Racer,4
Deirdre Battle,(187) 676-8155,6525 Mi. Rd.,445531,Netherlands,$276.78 ,violet,Cruiser,1
Gabriel Foreman,1-433-622-3840,"P.O. Box 118, 6451 Dictum. Avenue",2845,Colombia,$270.66 ,orange,Roadster,6
Arthur Holloway,1-372-553-8571,175-2360 Felis Av.,386668,Nigeria,$159.62 ,red,Ninja,7
Keaton May,(229) 852-8812,Ap #352-6482 Tellus Avenue,1407,Ukraine,$167.69 ,violet,Hero,3
Dennis Bell,1-990-112-9117,552-412 Dui Street,5472,Vietnam,$112.59 ,green,Trickster,4
Cassady Cameron,(371) 853-8831,Ap #936-427 Sed Rd.,82556,Brazil,$271.40 ,indigo,Ninja,2
Kiayada Schroeder,(681) 389-1177,Ap #166-6782 Convallis Av.,23718,Turkey,$115.91 ,indigo,Cruiser,2
Brennan Rowland,(450) 275-1807,Ap #737-2469 Dui Street,77-167,Nigeria,$225.33 ,violet,Hero,3
Barrett Bartlett,(850) 355-4174,918-8989 Ut Rd.,05821,Costa Rica,$163.28 ,indigo,Ninja,8
Quamar Juarez,(466) 578-5471,538-5144 Egestas Rd.,88418,Pakistan,$112.76 ,orange,Ninja,10
Craig Moses,1-745-477-4708,6282 Mauris. Avenue,88199-795,Norway,$197.16 ,blue,Hero,1
Benjamin Walls,1-432-655-8178,8782 Duis Av.,5765,Canada,$92.91 ,violet,Racer,6
Alec Goodwin,1-951-693-2342,Ap #370-7433 Lectus St.,63284-44576,Norway,$139.69 ,red,Trickster,0
Adam Andrews,(162) 734-3434,780-8838 Donec Street,1259,Costa Rica,$133.95 ,violet,Roadster,1
Venus Zamora,1-218-765-9136,870-4959 Suspendisse Rd.,1731,India,$207.91 ,indigo,Hero,10
Rana Mcconnell,(478) 849-5845,"P.O. Box 189, 2779 Amet Rd.",h1H 4L9,Germany,$56.37 ,indigo,Roadster,7
Howard Jones,(515) 375-6225,"404-6066 Nec, Road",113724,Poland,$128.96 ,violet,Hero,6
Velma Oliver,1-342-598-3880,Ap #494-7605 Nibh. Rd.,23261,Turkey,$249.10 ,green,Trickster,6
